ID;group;type;name;description;use with
0;F4SM;bool;F4SMVar;Version of this file: 1.2  from 18.10.2025 (BMS 4.38);info only
10;AIRCRAFT;float;alpha;Ownship AOA (Degrees);LCD, servo to drive AOA gauge
20;AIRCRAFT;float;beta;Ownship Beta (Degrees);
30;AIRCRAFT;float;gamma;Ownship Gamma (Radians);
40;AIRCRAFT;float;gs;Ownship Normal Gs;
50;AIRCRAFT;float;pitch;Ownship Pitch (Radians);
60;AIRCRAFT;float;roll;Ownship Roll (Radians);
70;AIRCRAFT;float;turnRate;actual turn rate (no delay or dampening) in degrees/second;
80;AIRCRAFT;float;yaw;Ownship Yaw (Radians);
90;ALTIMETER;float;aauz;AAU altimeter indicated altitude (new in BMS4);
91;ALTIMETER;string;aauz_s;Digit display of altimeter;OLED, LCD, MAX7219, TM1637
92;ALTIMETER;int;aauz_TT(s);Altimeter TenThousand Gauge (0..65535);StepperX27, StepperVID
93;ALTIMETER;int;aauz_T(s);Altimeter Thousand Gauge (0..65535);StepperX27, StepperVID
100;ALTIMETER;float;cabinAlt;Ownship cabin altitude;OLED, LCD, MAX7219, TM1637
101;ALTIMETER;int;cabinAlt(s);Ownship cabin altitude (0..65535);StepperX27, StepperVID
110;ALTIMETER;float;caraAlow;Cara alow setting;
120;ALTIMETER;float;RALT;"Radar altitude (only valid/ reliable if MiscBit ""RALT_Valid"" is set)";
130;ALTIMETER;string;AltCalReading;Altimeter setting (e.g. 1013/2992);OLED, LCD, MAX7219, TM1637
150;CMDS/RWR;float;ChaffCount;Number of Chaff left;MAX7219, TM1637, LCD
160;CMDS/RWR;float;FlareCount;Number of Flare left;MAX7219, TM1637, LCD
170;CMDS/RWR;byte[];RwrInfo;New RWR Info;
180;CMDS/RWR;int;cmdsMode;Ownship CMDS mode state, see CmdsModes enum for details;CMDS
190;AIRCRAFT;float;lefPos;Ownship LEF position;
200;AIRCRAFT;float;speedBrake;Ownship speed brake position 0 = closed, 1 = 60 Degrees open;OLED SBI
201;AIRCRAFT;int;speedBrake(g);Ownship speed brake position 0 = closed, 65535= 60 Degrees open;X27 SBI
210;AIRCRAFT;float;tefPos;Ownship TEF position;
